Id,Id2,Geography,Pop,Moe
1400000US35031940500,35031940500,"Census Tract 9405, McKinley County, New Mexico",1489,214
1400000US35031943500,35031943500,"Census Tract 9435, McKinley County, New Mexico",3627,338
1400000US35031943600,35031943600,"Census Tract 9436, McKinley County, New Mexico",5379,382
1400000US35031943700,35031943700,"Census Tract 9437, McKinley County, New Mexico",3827,285
1400000US35031943800,35031943800,"Census Tract 9438, McKinley County, New Mexico",6440,464
1400000US35031943901,35031943901,"Census Tract 9439.01, McKinley County, New Mexico",5205,391
1400000US35031943902,35031943902,"Census Tract 9439.02, McKinley County, New Mexico",3350,638
1400000US35031944000,35031944000,"Census Tract 9440, McKinley County, New Mexico",2150,266
1400000US35031945200,35031945200,"Census Tract 9452, McKinley County, New Mexico",5437,943
1400000US35031945300,35031945300,"Census Tract 9453, McKinley County, New Mexico",3420,540
1400000US35031945400,35031945400,"Census Tract 9454, McKinley County, New Mexico",2816,492
1400000US35031945500,35031945500,"Census Tract 9455, McKinley County, New Mexico",6306,743
1400000US35031945600,35031945600,"Census Tract 9456, McKinley County, New Mexico",5872,826
1400000US35031945700,35031945700,"Census Tract 9457, McKinley County, New Mexico",2417,368
1400000US35031946000,35031946000,"Census Tract 9460, McKinley County, New Mexico",4984,578
1400000US35031973100,35031973100,"Census Tract 9731, McKinley County, New Mexico",787,254
1400000US35033955200,35033955200,"Census Tract 9552, Mora County, New Mexico",4722,*****
1400000US35035000100,35035000100,"Census Tract 1, Otero County, New Mexico",1679,231
1400000US35035000200,35035000200,"Census Tract 2, Otero County, New Mexico",1600,222
1400000US35035000303,35035000303,"Census Tract 3.03, Otero County, New Mexico",2056,245
1400000US35035000304,35035000304,"Census Tract 3.04, Otero County, New Mexico",3622,499
1400000US35035000305,35035000305,"Census Tract 3.05, Otero County, New Mexico",3767,352
1400000US35035000306,35035000306,"Census Tract 3.06, Otero County, New Mexico",3065,388
1400000US35035000401,35035000401,"Census Tract 4.01, Otero County, New Mexico",5057,468
1400000US35035000402,35035000402,"Census Tract 4.02, Otero County, New Mexico",7661,572
1400000US35035000500,35035000500,"Census Tract 5, Otero County, New Mexico",5645,575
1400000US35035000601,35035000601,"Census Tract 6.01, Otero County, New Mexico",3917,383
1400000US35035000602,35035000602,"Census Tract 6.02, Otero County, New Mexico",2911,363
1400000US35035000603,35035000603,"Census Tract 6.03, Otero County, New Mexico",2611,457
1400000US35035000700,35035000700,"Census Tract 7, Otero County, New Mexico",5717,492
1400000US35035000901,35035000901,"Census Tract 9.01, Otero County, New Mexico",2796,442
1400000US35035000902,35035000902,"Census Tract 9.02, Otero County, New Mexico",9540,632
1400000US35035940000,35035940000,"Census Tract 9400, Otero County, New Mexico",3771,298
1400000US35037958601,35037958601,"Census Tract 9586.01, Quay County, New Mexico",2997,320
